Source	Target	Color	weight	Label
1111	2281	25	0.0810831443086655	11112281
1907	2218	11	0.1391766408038514	19072218
2043	3885	35	0.04691570442192253	20433885
654	1429	3	0.6090676008505979	6541429
2755	3555	1	0.03296346348445849	27553555
1450	3551	29	0.16515001319133915	14503551
3551	3848	1	0.078142176143428	35513848
209	2798	36	0.23564482480835938	2092798
2574	3332	25	0.16816190094086222	25743332
2790	3299	37	0.42720968875555554	27903299
2471	3214	38	0.044995025279434026	24713214
3039	3071	13	0.08018527446095326	30393071
3312	3330	29	0.11937823350033344	33123330
1544	2755	6	0.04699087856759436	15442755
1550	3221	24	0.061171720108954115	15503221
870	3558	23	0.01561194204910013	8703558
775	1657	12	0.051371955883055896	7751657
775	1654	36	0.1197480222613333	7751654
2830	3201	34	0.689155582560692	28303201
2610	3020	10	0.02784541834983835	26103020
518	654	34	0.5559550481307314	518654
1231	3856	7	0.005095527246568574	12313856
1783	3867	8	0.0416782952719773	17833867
656	3057	24	0.04928617834780806	6563057
1145	3663	32	0.02197415278805276	11453663
497	498	16	0.021971802985614578	497498
2354	3136	21	0.11614928037613553	23543136
1892	3835	34	0.025729236507905633	18923835
870	1366	22	0.024302741824241584	8701366
812	826	8	0.025935366722260576	812826
2382	2958	39	0.019374088226603615	23822958
702	1362	7	0.0722895162048979	7021362
3170	3775	24	0.04350113425528478	31703775
1599	2414	17	0.43575447726204225	15992414
86	1886	17	0.0690175536230946	861886
784	1930	10	0.5709736521574237	7841930
222	2218	8	0.17462633639516675	2222218
445	3923	24	0.0598612323609427	4453923
877	3434	19	0.05128464794453013	8773434
703	2185	19	0.052494949851486485	7032185
264	2616	14	0.027400883581264537	2642616
2323	3252	5	0.09343505222792231	23233252
2801	3259	19	0.430824857881756	28013259
507	3372	29	0.6613908808976093	5073372
507	2287	36	0.1551527099462194	5072287
1127	2440	4	0.15554829526335565	11272440
132	2094	34	0.05020205642163369	1322094
822	2189	0	0.17580236793988016	8222189
1194	1466	23	0.09328256243538735	11941466
549	2681	28	0.053384905438015495	5492681
876	1516	11	0.1433931287535485	8761516
606	700	16	0.0441300432173818	606700
445	3915	2	0.0770098996393522	4453915
915	3359	12	0.08892978947921427	9153359
2501	3020	2	0.028168160730429145	25013020
2057	3330	37	0.09967675064102491	20573330
1577	2827	16	0.344319313750935	15772827
1076	3366	27	0.27625663053666066	10763366
1829	2790	32	0.6084482388392775	18292790
2138	2787	37	0.2516292873462908	21382787
1366	3558	8	0.01269432110598355	13663558
5	710	24	0.032768601490457044	5710
486	1165	15	0.04120152620708385	4861165
597	1841	28	0.045945852434994376	5971841
567	2790	32	0.9402257093981662	5672790
39	95	37	0.10430693577867758	3995
247	1124	5	0.07576797157929173	2471124
2001	2344	13	0.031147444993598887	20012344
227	3194	23	0.13936913548839708	2273194
1470	3095	14	0.15623854019602332	14703095
2971	3469	37	0.10385702445141654	29713469
518	2790	36	0.6775764570978141	5182790
1841	2018	34	0.06004130633960727	18412018
0	3081	13	0.034490403667533	03081
1029	1888	12	0.031956318574068686	10291888
2869	3384	12	0.220627011745439	28693384
86	1853	20	0.05089103192379739	861853
497	3094	23	0.01117446053971063	4973094
1052	3067	6	0.022331535747150338	10523067
949	1470	8	0.040398156531678366	9491470
2057	3312	4	0.16099413977398686	20573312
1470	3089	5	0.032908121061289874	14703089
608	1810	29	0.04046064299523255	6081810
1145	1445	17	0.019062054191541198	11451445
1601	2488	23	0.050477007151304876	16012488
549	3742	5	0.05289392406452886	5493742
25	1118	32	0.11061268847330814	251118
3020	3095	34	0.14210784416799274	30203095
491	492	7	0.16684070820337535	491492
2138	3848	17	0.06190886323884364	21383848
2132	2596	10	0.03359245354617323	21322596
1303	3287	10	0.0475091774369444	13033287
2913	3158	9	0.1588268104596122	29133158
78	2367	34	0.0981283418032287	782367
2655	2714	21	0.03125953885317446	26552714
18	2600	8	0.020508131095965595	182600
2282	3082	1	0.05291211388011364	22823082
1206	2239	8	0.10290271833246148	12062239
992	3460	18	0.07794066606305469	9923460
2325	2827	31	0.13856630039170206	23252827
831	3057	20	0.036387176945706944	8313057
3020	3089	34	0.029931808974737534	30203089
304	2446	21	0.16639511389870718	3042446
2382	2901	10	0.0211998420301098	23822901
1545	3509	17	0.19987307208669947	15453509
1829	2757	33	0.6150487730563304	18292757
615	643	6	0.045592029405851615	615643
565	2053	30	0.03714596528326013	5652053
567	2757	26	0.9504254134493678	5672757
1028	3063	30	0.04582150224243786	10283063
466	3194	9	0.12431448730229355	4663194
1240	1907	24	0.11008505799566821	12401907
110	704	4	0.3395963018964657	110704
1839	3393	6	0.10441057058718493	18393393
1415	2598	14	0.04786131996538924	14152598
228	3651	19	0.09801853800439722	2283651
1886	2826	19	0.048756379476625644	18862826
1004	1839	31	0.06645373837405852	10041839
1886	2825	27	0.07453067402834321	18862825
915	2218	20	0.14088708295218558	9152218
518	2757	11	0.6849269041929942	5182757
1470	3056	8	0.05826223140804442	14703056
1620	2782	1	0.02690463567116067	16202782
1377	2186	24	0.06343798614950666	13772186
553	2497	36	0.010472310758788649	5532497
498	899	32	0.03206910876574419	498899
3156	3763	16	0.10063351521797333	31563763
499	648	22	0.19188920039433335	499648
660	1907	16	0.12661942753727315	6601907
39	41	28	0.22291132219442766	3941
1567	3780	5	0.14835727989676156	15673780
1516	3082	15	0.015144614905151605	15163082
3359	3551	8	0.08647711040051226	33593551
277	1453	18	0.10628972190367622	2771453
2717	3226	10	0.29367308360317096	27173226
2368	2931	20	0.19537697520905245	23682931
14	3445	19	0.2094122404096149	143445
1996	3608	4	0.21615598453870227	19963608
1164	2345	14	0.1289341646923378	11642345
565	3110	5	0.13003801327137035	5653110
806	2225	26	0.03763898321451465	8062225
703	2108	25	0.09782081542429202	7032108
1998	3075	18	0.05428248858501909	19983075
168	779	8	0.06925392375862904	168779
688	3293	18	0.11793974351117317	6883293
1886	2800	3	0.07704733858408763	18862800
2093	2411	26	0.09409101312113104	20932411
1604	1789	37	0.032323947529610035	16041789
2958	3197	3	0.0581839752422372	29583197
949	2501	31	0.03078281300703118	9492501
2816	3879	4	0.1828959153537833	28163879
2455	3170	28	0.03232510005965191	24553170
272	2576	6	0.029858086843057158	2722576
2270	3492	10	0.1970175961258268	22703492
1294	1778	23	0.0474022519848731	12941778
132	2001	32	0.036480192309415085	1322001
1470	3020	25	0.03696678942686076	14703020
165	784	20	0.4033663651524812	165784
1261	2282	19	0.15402488920714064	12612282
503	3825	22	0.055450089736591324	5033825
2094	2138	31	0.061940409959699835	20942138
1559	3197	37	0.031803309190043934	15593197
3244	3867	27	0.11442811649561567	32443867
227	384	1	0.2924530633836992	227384
1907	2800	11	0.09812643777433257	19072800
331	1248	14	0.06864412190274144	3311248
2218	3359	37	0.13017738921186583	22183359
2323	2786	8	0.039091687234188995	23232786
38	1520	37	0.04479129687477482	381520
1845	3201	27	0.531000065464084	18453201
1604	2859	37	0.12397479944641623	16042859
1109	3558	14	0.01658637968663645	11093558
3088	3654	2	0.4647041297544453	30883654
1841	3742	28	0.051056561783275965	18413742
3244	3856	8	0.056204619874741776	32443856
2958	3170	27	0.02216005030724753	29583170
2124	3057	31	0.1407877676042725	21243057
384	3585	1	0.11373014103396804	3843585
956	2791	2	0.019075349949616925	9562791
894	3194	23	0.15526694435013386	8943194
2132	2527	36	0.14996015755302636	21322527
2134	3088	2	0.6527261775725023	21343088
649	1886	35	0.06211350419715126	6491886
567	1608	9	1.2384925204309363	5671608
925	1107	22	0.04571941826812523	9251107
586	915	22	0.0873662022051336	586915
